Menmonique;paramètres;;;;opcode;;;;extension
ADD;r/m8;r8;;;;;0;;r
ADD;r/m16/32;r16/32;;;;;1;;r
ADD;r8;r/m8;;;;;2;;r
ADD;r16/32;r/m16/32;;;;;3;;r
ADD;AL;imm8;;;;;4;;
ADD;eAX;imm16/32;;;;;5;;
PUSH;ES;;;;;;6;;
POP;ES;;;;;;7;;
OR;r/m8;r8;;;;;8;;r
OR;r/m16/32;r16/32;;;;;9;;r
OR;r8;r/m8;;;;;0A;;r
OR;r16/32;r/m16/32;;;;;0B;;r
OR;AL;imm8;;;;;0C;;
OR;eAX;imm16/32;;;;;0D;;
PUSH;CS;;;;;;0E;;
ADC;r/m8;r8;;;;;10;;r
ADC;r/m16/32;r16/32;;;;;11;;r
ADC;r8;r/m8;;;;;12;;r
ADC;r16/32;r/m16/32;;;;;13;;r
ADC;AL;imm8;;;;;14;;
ADC;eAX;imm16/32;;;;;15;;
PUSH;SS;;;;;;16;;
POP;SS;;;;;;17;;
SBB;r/m8;r8;;;;;18;;r
SBB;r/m16/32;r16/32;;;;;19;;r
SBB;r8;r/m8;;;;;1A;;r
SBB;r16/32;r/m16/32;;;;;1B;;r
SBB;AL;imm8;;;;;1C;;
SBB;eAX;imm16/32;;;;;1D;;
PUSH;DS;;;;;;1E;;
POP;DS;;;;;;1F;;
AND;r/m8;r8;;;;;20;;r
AND;r/m16/32;r16/32;;;;;21;;r
AND;r8;r/m8;;;;;22;;r
AND;r16/32;r/m16/32;;;;;23;;r
AND;AL;imm8;;;;;24;;
AND;eAX;imm16/32;;;;;25;;
DAA;AL;;;;;;27;;
SUB;r/m8;r8;;;;;28;;r
SUB;r/m16/32;r16/32;;;;;29;;r
SUB;r8;r/m8;;;;;2A;;r
SUB;r16/32;r/m16/32;;;;;2B;;r
SUB;AL;imm8;;;;;2C;;
SUB;eAX;imm16/32;;;;;2D;;
DAS;AL;;;;;;2F;;
XOR;r/m8;r8;;;;;30;;r
XOR;r/m16/32;r16/32;;;;;31;;r
XOR;r8;r/m8;;;;;32;;r
XOR;r16/32;r/m16/32;;;;;33;;r
XOR;AL;imm8;;;;;34;;
XOR;eAX;imm16/32;;;;;35;;
AAA;AL;AH;;;;;37;;
CMP;r/m8;r8;;;;;38;;r
CMP;r/m16/32;r16/32;;;;;39;;r
CMP;r8;r/m8;;;;;3A;;r
CMP;r16/32;r/m16/32;;;;;3B;;r
CMP;AL;imm8;;;;;3C;;
CMP;eAX;imm16/32;;;;;3D;;
AAS;AL;AH;;;;;3F;;
INC;r16/32;;;;;;40+r;;
DEC;r16/32;;;;;;48+r;;
PUSH;r16/32;;;;;;50+r;;
POP;r16/32;;;;;;58+r;;
PUSHA;AX;CX;DX;...;;;60;;
PUSHAD;EAX;ECX;EDX;...;;;60;;
POPA;DI;SI;BP;...;;;61;;
POPAD;EDI;ESI;EBP;...;;;61;;
BOUND;r16/32;m16/32&16/32;eFlags;;;;62;;r
ARPL;r/m16;r16;;;;;63;;r
PUSH;imm16/32;;;;;;68;;
IMUL;r16/32;r/m16/32;imm16/32;;;;69;;r
PUSH;imm8;;;;;;6A;;
IMUL;r16/32;r/m16/32;imm8;;;;6B;;r
INS;m8;DX;;;;;6C;;
INSB;m8;DX;;;;;6C;;
INS;m16;DX;;;;;6D;;
INSW;m16;DX;;;;;6D;;
INS;m16/32;DX;;;;;6D;;
INSD;m32;DX;;;;;6D;;
OUTS;DX;m8;;;;;6E;;
OUTSB;DX;m8;;;;;6E;;
OUTS;DX;m16;;;;;6F;;
OUTSW;DX;m16;;;;;6F;;
OUTS;DX;m16/32;;;;;6F;;
OUTSD;DX;m32;;;;;6F;;
JO;rel8;;;;;;70;;
JNO;rel8;;;;;;71;;
JB;rel8;;;;;;72;;
JNAE;rel8;;;;;;72;;
JC;rel8;;;;;;72;;
JNB;rel8;;;;;;73;;
JAE;rel8;;;;;;73;;
JNC;rel8;;;;;;73;;
JZ;rel8;;;;;;74;;
JE;rel8;;;;;;74;;
JNZ;rel8;;;;;;75;;
JNE;rel8;;;;;;75;;
JBE;rel8;;;;;;76;;
JNA;rel8;;;;;;76;;
